,Fechas,Links
38,"febrero 19, 2023",https://lopezobrador.org.mx/2023/02/19/version-estenografica-evaluacion-de-avances-del-plan-de-justicia-para-el-pueblo-yaqui-desde-cajeme-sonora/
39,"febrero 18, 2023",https://lopezobrador.org.mx/2023/02/18/version-estenografica-decreto-sobre-nacionalizacion-del-litio/
40,"febrero 18, 2023",https://lopezobrador.org.mx/2023/02/18/version-estenografica-inauguracion-de-la-modernizacion-del-camino-agua-prieta-bavispe-desde-sonora/
41,"febrero 17, 2023",https://lopezobrador.org.mx/2023/02/17/version-estenografica-inauguracion-de-primera-etapa-de-la-central-fotovoltaica-puerto-penasco-desde-sonora/
42,"febrero 17, 2023",https://lopezobrador.org.mx/2023/02/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-sonora-5/
43,"febrero 16, 2023",https://lopezobrador.org.mx/2023/02/16/version-estenografica-inauguracion-de-vialidad-principal-al-aifa-camino-tonanitla-desde-nextlalpan-estado-de-mexico/
44,"febrero 16, 2023",https://lopezobrador.org.mx/2023/02/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-912/
45,"febrero 15, 2023",https://lopezobrador.org.mx/2023/02/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-911/
46,"febrero 14, 2023",https://lopezobrador.org.mx/2023/02/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-910/
47,"febrero 13, 2023",https://lopezobrador.org.mx/2023/02/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-909/
48,"febrero 11, 2023",https://lopezobrador.org.mx/2023/02/11/version-estenografica-entrega-de-condecoracion-orden-mexicana-del-aguila-azteca-al-presidente-de-cuba-miguel-diaz-canel/
49,"febrero 11, 2023",https://lopezobrador.org.mx/2023/02/11/palabras-del-presidente-andres-manuel-lopez-obrador-en-la-bienvenida-al-presidente-de-la-republica-de-cuba-miguel-diaz-canel-bermudez/
50,"febrero 10, 2023",https://lopezobrador.org.mx/2023/02/10/palabras-del-presidente-andres-manuel-lopez-obrador-en-el-dia-de-la-fuerza-aerea-mexicana-desde-zapopan-jalisco/
51,"febrero 10, 2023",https://lopezobrador.org.mx/2023/02/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-jalisco-5/
52,"febrero 9, 2023",https://lopezobrador.org.mx/2023/02/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-908/
